Проблема;Наименование мероприятий;Митигационный эффект;Адаптационный эффект;Наименование района;Агроклиматические условия района;Ответственная организация;Источник;;;;;;;;;;;;;;;;;;
Отсутствие мотивирующей инфраструктуры для сдачи вторсырья;ЭкоПоинт — высокотехнологичное решение для автоматизированного сбора вторсырья у населения за вознаграждение;Снижение объёмов захороняемых отходов, повышение доли переработанного вторсырья, снижение углеродного следа за счёт замещения первичного сырья вторичным;Формирование устойчивой городской инфраструктуры обращения с отходами, повышение экологической грамотности населения, снижение нагрузки на полигоны ТКО и рисков загрязнения окружающей среды;Россия (общероссийский охват);"Среднегодовая температура — от –2 °C до +6 °C (в зависимости от региона). Сезонные средние: зима ? –12…–5 °C, весна ? 0…+8 °C, лето ? +16…+22 °C, осень ? +5…+10 °C. Безморозный период — 110–160 дней. Годовое количество осадков — 400–700 мм, максимум летом и осенью. Средняя влажность — 65–80 %. Возможны засухи (особенно в южных регионах) и экстремальные осадки (в центральных и северных). Почвы — от дерново-подзолистых до чернозёмов. Высота над уровнем моря — 0–300 м (в большинстве населённых пунктов). Климат — умеренно континентальный, в южных регионах — континентальный. Много рек и озёр; в отдельных районах возможны весенние паводки и локальные подтопления.";ООО «ЭкоПоинт»;https://ecopoint.tech/;;;;;;;;;;;;;;;;;;
Сброс трудноочищаемых промышленных стоков;Технология утилизации промышленных стоков методом многоступенчатой термодистилляции Exerger;"Снижение выбросов парниковых газов за счёт сокращения сбросов сточных вод и замещения первичной воды вторично очищенной; снижение потребления химических реагентов и энергии на водоподготовку";"Обеспечение устойчивого водоснабжения предприятий в условиях роста дефицита пресной воды и ужесточения требований к сбросам; повышение резилиентности промышленных объектов к климатическим стрессам (засухи, снижение стока рек)";Россия (общероссийский охват);"Среднегодовая температура — от –2 °C до +6 °C (в зависимости от региона). Сезонные средние: зима ? –12…–5 °C, весна ? 0…+8 °C, лето ? +16…+22 °C, осень ? +5…+10 °C. Безморозный период — 110–160 дней. Годовое количество осадков — 400–700 мм, максимум летом и осенью. Средняя влажность — 65–80 %. Возможны засухи (особенно в южных регионах) и экстремальные осадки (в центральных и северных). Почвы — от дерново-подзолистых до чернозёмов. Высота над уровнем моря — 0–300 м (в большинстве населённых пунктов). Климат — умеренно континентальный, в южных регионах — континентальный. Много рек и озёр; в отдельных районах возможны весенние паводки и локальные подтопления.";ООО «Рейннол» (Reinnol);https://reinnolc.com/;;;;;;;;;;;;;;;;;;
Накопление токсичных иловых осадков и шламов;Плазменно-пиролитическая переработка иловых осадков и промышленных шламов в строительный материал;Сокращение объёмов захороняемых отходов до 98 %, снижение выбросов метана и других парниковых газов от разложения органики на полигонах, устранение рисков загрязнения почв и водоёмов;"Повышение экологической устойчивости городов и промышленных зон за счёт ликвидации накопленных отходов (иловые кеки, шламы), снижение рисков загрязнения водных ресурсов при экстремальных осадках и паводках; создание устойчивого строительного сырья из отходов";Россия (общероссийский охват);"Среднегодовая температура — от –2 °C до +6 °C (в зависимости от региона). Сезонные средние: зима ? –12…–5 °C, весна ? 0…+8 °C, лето ? +16…+22 °C, осень ? +5…+10 °C. Безморозный период — 110–160 дней. Годовое количество осадков — 400–700 мм, максимум летом и осенью. Средняя влажность — 65–80 %. Возможны засухи (особенно в южных регионах) и экстремальные осадки (в центральных и северных). Почвы — от дерново-подзолистых до чернозёмов. Высота над уровнем моря — 0–300 м (в большинстве населённых пунктов). Климат — умеренно континентальный, в южных регионах — континентальный. Много рек и озёр; в отдельных районах возможны весенние паводки и локальные подтопления.";ООО НТЦ «Экопромтех»;https://www.ntc-ecopromtech.ru/;;;;;;;;;;;;;;;;;;
Отсутствие прозрачного учёта парниковых газов и загрязнителей;Система мониторинга выбросов загрязняющих веществ и парниковых газов (программно-аппаратный комплекс);Снижение нетто-выбросов за счёт повышения точности учёта, выявления утечек и несанкционированных выбросов, оптимизации технологических процессов на основе данных мониторинга;"Повышение устойчивости территорий и предприятий к экстремальным климатическим и техногенным событиям: раннее предупреждение о превышении ПДК, прогноз распространения загрязнений при авариях, поддержка принятия решений в условиях ЧС (включая военные угрозы); адаптация городской инфраструктуры к изменению фонового загрязнения воздуха";Россия (общероссийский охват);"Среднегодовая температура — от –2 °C до +6 °C (в зависимости от региона). Сезонные средние: зима ? –12…–5 °C, весна ? 0…+8 °C, лето ? +16…+22 °C, осень ? +5…+10 °C. Безморозный период — 110–160 дней. Годовое количество осадков — 400–700 мм, максимум летом и осенью. Средняя влажность — 65–80 %. Возможны засухи (особенно в южных регионах) и экстремальные осадки (в центральных и северных). Почвы — от дерново-подзолистых до чернозёмов. Высота над уровнем моря — 0–300 м (в большинстве населённых пунктов). Климат — умеренно континентальный, в южных регионах — континентальный. Много рек и озёр; в отдельных районах возможны весенние паводки и локальные подтопления.";ООО «Большая Тройка»;https://big3.ru/products/ecomonitoring/;;;;;;;;;;;;;;;;;;
Хроническое загрязнение донных отложений нефтью;Аэрощуп — технология очистки и мониторинга водных экосистем от нефтяных углеводородов и пластикового мусора;"Снижение выбросов метана и других парниковых газов за счёт предотвращения разложения нефтяных загрязнений в донных отложениях; сокращение загрязнения водных экосистем, что снижает углеродный след восстановления природных ландшафтов";"Повышение устойчивости водных экосистем к техногенным авариям и хроническому загрязнению; восстановление биоразнообразия и функций водоёмов; снижение рисков вторичного загрязнения при паводках и экстремальных осадках";Россия (общероссийский охват, с приоритетом нефтедобывающих регионов: ХМАО, Коми, Иркутская область и др.);"Среднегодовая температура — от –2 °C до +2 °C (в северных и нефтедобывающих регионах). Сезонные средние: зима ? –18…–10 °C, весна ? –2…+5 °C, лето ? +14…+18 °C, осень ? +2…+8 °C. Безморозный период — 80–120 дней. Годовое количество осадков — 400–600 мм, максимум летом. Средняя влажность — 70–85 %. Возможны засухи в летний период и сильные ливни. Почвы — подзолистые, болотно-подзолистые, глеевые. Высота над уровнем моря — 50–200 м. Климат — континентальный и резко континентальный. Много рек, озёр и болот; весной возможны обширные паводки и подтопления низменных территорий.";ООО «ТЭК Аэрощуп» (резидент Сколково), при научной поддержке Томского государственного университета;http://aeroprobe.ru/;;;;;;;;;;;;;;;;;;
Низкая оперативность наземного экомониторинга;ЭРИ (Дронопорт HIVE) — программно-аппаратный комплекс по аэромониторингу и лазерному сканированию объектов с использованием БАС и ИИ;"Снижение выбросов за счёт оптимизации логистики и сокращения наземного транспорта при мониторинге; уменьшение потребления топлива и ГСМ на 70 %";"Повышение устойчивости территорий к климатическим и техногенным рискам: раннее обнаружение лесных пожаров, контроль за состоянием городской и промышленной инфраструктуры, оперативное реагирование на ЧС; адаптация городов к изменению экологической обстановки за счёт непрерывного мониторинга";Республика Татарстан (с возможностью масштабирования по РФ);"Среднегодовая температура — около +4,5 °C. Сезонные средние: зима ? –10 °C, весна ? +6 °C, лето ? +20 °C, осень ? +7 °C. Безморозный период — 140–150 дней. Годовое количество осадков — 500–600 мм, максимум летом. Средняя влажность — 70–75 %. Возможны засухи и кратковременные ливни. Почвы — серые лесные и чернозёмы. Высота над уровнем моря — 50–100 м. Климат — умеренно континентальный. Реки: Волга, Кама; риск локальных подтоплений при паводках.";ООО «Дронопорт»;https://smarteka.com/practices/programmno-apparatnyj-kompleks-po-aeromonitoringu-i-lazernomu-skanirovaniu-obektov-pri-pomosi-bas?tab=task;;;;;;;;;;;;;;;;;;
Отсутствие мобильных систем контроля качества воздуха;Горный-ЦОТ — аэросенсоры для обнаружения выбросов и контроля атмосферы, интегрируемые на БПЛА и транспорт;"Снижение нетто-выбросов за счёт повышения точности выявления утечек метана, CO, CO? и других парниковых газов; оптимизация технологических процессов на основе данных мониторинга";"Повышение устойчивости промышленных и городских территорий к экстремальным климатическим условиям и техногенным авариям: оперативный контроль качества воздуха, раннее предупреждение о превышении ПДК, поддержка принятия решений при ЧС; адаптация к росту частоты аномальных погодных явлений и загрязнения воздуха";Россия (общероссийский охват, с акцентом на промышленные регионы);"Среднегодовая температура — от –2 °C до +6 °C (в зависимости от региона). Сезонные средние: зима ? –12…–5 °C, весна ? 0…+8 °C, лето ? +16…+22 °C, осень ? +5…+10 °C. Безморозный период — 110–160 дней. Годовое количество осадков — 400–700 мм, максимум летом и осенью. Средняя влажность — 65–80 %. Возможны засухи (особенно в южных регионах) и экстремальные осадки (в центральных и северных). Почвы — от дерново-подзолистых до чернозёмов. Высота над уровнем моря — 0–300 м (в большинстве населённых пунктов). Климат — умеренно континентальный, в южных регионах — континентальный. Много рек и озёр; в отдельных районах возможны весенние паводки и локальные подтопления.";ООО «Горный-ЦОТ»;https://ind-saf.com/;;;;;;;;;;;;;;;;;;
Дефицит доступной экологической информации для граждан;EcoWiki — «зелёная» поисковая система с образовательным функционалом;Снижение углеродного следа за счёт популяризации энерго- и ресурсосберегающих практик, сокращения потребления одноразовых товаров и стимулирования перехода к циркулярной экономике;Повышение экологической грамотности населения, формирование устойчивых поведенческих моделей, укрепление социальной резилиентности к климатическим рискам через коллективные действия и просвещение;Россия (общероссийский охват);"Среднегодовая температура — от –2 °C до +6 °C (в зависимости от региона). Сезонные средние: зима ? –12…–5 °C, весна ? 0…+8 °C, лето ? +16…+22 °C, осень ? +5…+10 °C. Безморозный период — 110–160 дней. Годовое количество осадков — 400–700 мм, максимум летом и осенью. Средняя влажность — 65–80 %. Возможны засухи (особенно в южных регионах) и экстремальные осадки (в центральных и северных). Почвы — от дерново-подзолистых до чернозёмов. Высота над уровнем моря — 0–300 м (в большинстве населённых пунктов). Климат — умеренно континентальный, в южных регионах — континентальный. Много рек и озёр; в отдельных районах возможны весенние паводки и локальные подтопления.";Платформа EcoWiki;https://ecowiki.ru/;;;;;;;;;;;;;;;;;;
Низкая экологическая и краеведческая грамотность школьников;«Моя Россия. Экологическая карта страны глазами школьников»;Снижение будущих экологических нагрузок за счёт формирования у молодого поколения устойчивых привычек, бережного отношения к природным ресурсам и осознанного потребления;Повышение адаптационного потенциала регионов через экопросвещение, вовлечение молодёжи в мониторинг состояния окружающей среды, развитие экологического туризма и устойчивого территориального развития;Свердловская, Архангельская, Амурская области, Тюменская область, Хабаровский край, Чеченская Республика (с расширением на всю РФ);"Условия различаются по регионам. В среднем: среднегодовая температура — от –4 °C (Архангельск) до +4 °C (Хабаровск). Безморозный период — 90–150 дней. Осадки — 400–700 мм/год, максимум летом. В северных регионах — высокая влажность, частые дожди; в южных — риск засух. Преобладают подзолистые, болотно-подзолистые, серые лесные почвы и чернозёмы. Высота — 50–300 м. Климат — от умеренно континентального до резко континентального. Все регионы имеют крупные реки и водоёмы; в весенний период возможны паводки.";Фонд ранней профориентации школьников «Зелёная кисточка»;https://xn--80aanaijnbevo9an5e3f.xn--p1ai/ecomap;;;;;;;;;;;;;;;;;;
Антропогенное давление на экосистему Байкала;ЭКО.ЦЕХ на Байкале — всероссийский экологический кампус;Снижение антропогенной нагрузки на уникальную экосистему озера Байкал за счёт внедрения устойчивых практик, замещения промышленной деятельности экологическим туризмом и образованием;Повышение устойчивости Байкальской природной территории к климатическим и антропогенным рискам: обучение лидеров экологических изменений, развитие экологического туризма, создание инновационных решений для сохранения биоразнообразия и водных ресурсов;Республика Бурятия, г. Байкальск;"Среднегодовая температура — около –1 °C. Сезонные средние: зима ? –18 °C, весна ? –2 °C, лето ? +17 °C, осень ? +3 °C. Безморозный период — 100–110 дней. Годовое количество осадков — 500–600 мм, максимум летом. Средняя влажность — 70–80 %. Возможны засухи в летний период и сильные ветры. Почвы — горно-таёжные, подзолистые. Высота над уровнем моря — 450–500 м. Климат — резко континентальный. Озеро Байкал — крупнейший пресноводный резервуар мира; риск подтоплений при сильных осадках и таянии снега.";Фонд «ЭКО.ЦЕХ» (по поручению Президента РФ);https://xn--e1ajm3ad3b.xn--p1ai/;;;;;;;;;;;;;;;;;;
Недоверие населения к переработке отходов;Экоцентр «Сборка» — многофункциональная площадка для приёма вторсырья, экопросвещения и музей переработки;Снижение объёмов захороняемых отходов, сокращение выбросов от разложения ТКО на полигонах, стимулирование спроса на вторичное сырьё;Формирование устойчивой городской инфраструктуры обращения с отходами, повышение доверия населения к переработке, снижение социальных и экологических рисков, связанных с переполнением полигонов и загрязнением почв и водоёмов;Москва;"Среднегодовая температура — +5,8 °C. Сезонные средние: зима ? –6 °C, весна ? +7 °C, лето ? +19 °C, осень ? +7 °C. Безморозный период — 150–160 дней. Годовое количество осадков — 650–750 мм, максимум летом. Средняя влажность — 75–80 %. Возможны засухи и кратковременные ливни. Почвы — дерново-подзолистые. Высота над уровнем моря — 130–250 м. Климат — умеренно континентальный. Реки: Москва, Яуза; возможны локальные подтопления при интенсивных осадках.";Общественное движение «МосЭко»;https://ecosborka.ru/;;;;;;;;;;;;;;;;;;
Городские подтопления из-за неэффективного водоотведения;Система очистки и отвода ливневых стоков и талых вод с применением дренажных колодцев;"Снижение загрязнения природных водоёмов за счёт локальной очистки стоков от нефтепродуктов, масел и взвешенных веществ; уменьшение нагрузки на централизованные канализационные системы и, как следствие, снижение энергозатрат на их эксплуатацию";"Повышение устойчивости городской и промышленной инфраструктуры к экстремальным осадкам и весенним паводкам; локальное устранение подтоплений в местах их генерации; снижение рисков затопления придомовых территорий и дорог при интенсивных дождях и таянии снега";Тюменская область (с возможностью масштабирования по РФ);"Среднегодовая температура — около +1,5 °C. Сезонные средние: зима ? –16 °C, весна ? –1…+5 °C, лето ? +18 °C, осень ? +4…+6 °C. Безморозный период — 110–120 дней. Годовое количество осадков — 450–550 мм, максимум летом и в начале осени. Средняя влажность — 70–80 %. Возможны засухи в летний период и обильные снегопады зимой. Почвы — дерново-подзолистые, болотно-подзолистые. Высота над уровнем моря — 50–120 м. Климат — континентальный. Много рек и озёр; весной и при сильных дождях возможны локальные подтопления";ООО «ТЗГ» (Тюмень);https://tzg-plast.ru/sistema-vodootvedeniya/;;;;;;;;;;;;;;;;;;
Риск распространения инфекций через переносчиков при климатическом потеплении;Платформа «Mosquito Alert» (гражданская научная система для мониторинга и контроля видов комаров-переносчиков вирусов);Снижение риска распространения инфекционных заболеваний, вызванных климатическими изменениями, посредством раннего предупреждения и профилактики;Повышение готовности населения и органов здравоохранения к вспышкам заболеваний, улучшение эпидемиологического надзора, развитие систем предсказания и управления рисками распространения переносчиков болезней;Испания (с расширением в рамках Европы и международным сотрудничеством);"Среднегодовая температура — около 15-17 °C (в зависимости от широты и близости к морю). Сезонные средние: зима ? +5-10 °C, весна ? +12-17 °C, лето ? +25-30 °C (в южных и внутренних районах), осень ? +15-20 °C. Безморозный период — примерно 200-250 дней в прибрежных регионах, меньше в гористых / внутренних. Годовое количество осадков — сильно варьируется: от ~400-600 мм на севере и у побережья, до ~200-300 мм в юге и внутренних районах. Средняя влажность — около 65-80 % на побережье, ниже (40-60 %) в сухих внутренних зонах летом. Типичные почвы — разнообразные: глинистые, песчаные, аллювий, гумусовые, в сырых или прибрежных болотистых участках — торфяные (Histosols), в зонах с морской примесью — солончаков. Рельеф: побережье низкое, внутренние территории — плато, холмы, горы; высоты от 0 до >1000 м над уровнем моря. Климат — средиземноморский с континентальным уклоном внутри страны; в южных внутренних районах — полузасушливый / полу-аридный. Ключевые природные риски: распространение переносчиков болезней (комары) из-за потепления и влажности; волны жары; наводнения при интенсивных ливнях; засухи летом; возможна стоячая вода, риск мусоньных дождей / коротких сильных осадков.";Орган автономных национальных парков (OAPN), Министерство экологического перехода Испании;https://adaptecca.es/en/casos-practicos/mosquito-alert-360o-citizen-science-observatory-0;;;;;;;;;;;;;;;;;;
Опустынивание и потеря продуктивности земель;«Реконверсия старых орошаемых сельхозугодий в пастбища (деши) в районе национального парка Лас Таблас-де-Даймьель»;Поглощение CO? за счёт восстановления лесных экосистем и уменьшения интенсивного сельскохозяйственного водопользования;Восстановление естественных пастбищных экосистем, повышение биоразнообразия, защита водоносных горизонтов, снижение уязвимости территории к засухам и деградации земель;Даймьель, провинция Сьюдад-Реаль, Кастилия-Ла-Манча, Испания;"Среднегодовая температура — около 14-15 °C. Сезонные средние: зима ? +6-8 °C, весна ? +12-15 °C, лето ? +27-30 °C, осень ? +15-20 °C. Безморозный период — примерно 220-230 дней. Годовое количество осадков — ~ 400-450 мм; максимум в весну и осень, очень сухо летом. Средняя влажность — около 60-70 % в прохладные сезоны и около 30-40 % летом в дневное время. Почвы — преобладают Calcisols, Cambisols, Arenosols, Histosols, Regosols; на сухих участках — карбонатные, щелочные, пористые; в зонах затоплений — глеевые, торфяные, органические. Рельеф — ландшафт равнинный, плоскость, неглубокие овраги, небольшие перепады высот; высота над уровнем моря ? 500-700 м или меньше в равнинных частях. Климат — средиземноморский с континентальными чертами, полузасушливый в сухих годах. Природные риски: засухи, особенно летом; истощение грунтовых вод; деградация почв (эрозия, солонцевание); риски засоления; сильные температурные перепады; высыхание влажных зон.";;https://adaptecca.es/en/casos-practicos/reconversion-old-irrigated-farmland-pasturelands-dehesas-area-las-tablas-de-0;;;;;;;;;;;;;;;;;;
Тепловой стресс и перегрев городских территорий;Проект NBS URBAN: «Карта потенциала природных решений для адаптации к изменению климата на местном уровне» (методологическое руководство и пилотное внедрение в Доностии-Сан-Себастьяне);Создание синергии между природными решениями и снижением выбросов углерода за счёт увеличения зелёных и водопроницаемых зон в городской среде;Снижение уязвимости городских территорий к экстремальным климатическим явлениям, улучшение микроклимата, повышение устойчивости городской инфраструктуры;Доностия-Сан-Себастьян, Страна Басков, Испания;"Среднегодовая температура — примерно 15-16 °C. Сезонные средние: зима ? +8-10 °C, весна ? +12-14 °C, лето ? +18-21 °C, осень ? +13-16 °C. Безморозный период — порядка 250-280 дней (в долине/прибрежных зонах). Годовое количество осадков — около 1 200-1 400 мм; осадки распределены в течение года, максимум зимой и осенью. Средняя влажность — высока, ? 75-85 %, особенно зимой и в межсезонье; летом несколько ниже. Почвы — аллювиальные, кислые или нейтральные, глинистые и илиловатые с хорошей влагоёмкостью, иногда подстилаемые сланцем, известняком. Рельеф — приморский, холмистый; высота над уровнем моря варьируется от 0 до ~200-400 м. Климат — умеренно-океанический с сильным влиянием Атлантики, умеренно морской, с мягкими зимами и умеренным летом. Ключевые природные риски: тепло летом (лактонагревание), волны жары; повышенная влажность и связанные с этим проблемы с комфортом и здоровьем; интенсивные осадки и возможные оселища; наводнения малого масштаба; эрозия почв в крутых склонах.";Правительство Страны Басков, местная администрация Доностии-Сан-Себастьяна;https://adaptecca.es/en/casos-practicos/nbs-urban-project-map-potential-natural-solutions-climate-change-adaptation-local-0;;;;;;;;;;;;;;;;;;
Повышение теплового стресса в населённых пунктах;Создание климатических убежищ в городских пространствах, карты прохладных зон, климатические прогулки, обучение летних агентов по бедности в сфере энергии (SEPA), мероприятия по снижению потребностей в энергии и повышению теплового комфорта, тестирование системы оповещения о тепловых волнах;Снижение потребления электроэнергии за счёт пассивного охлаждения и повышения энергоэффективности;Защита населения от тепловых волн, повышение устойчивости уязвимых групп, улучшение городской инфраструктуры и создание адаптивных общественных пространств;Испания, Греция, Италия, Болгария (городские территории);"Среднегодовая температура — около 16-19 °C. Сезонные средние: зимой ? +8-12 °C, весна ? +15-18 °C, лето ? +28-32 °C, осень ? +18-22 °C. Безморозный период — около 240-270 дней. Годовое количество осадков — ~ 400-700 мм, преимущественно весной и осенью; летом — засушливо. Средняя влажность — ? 60-80 % в межсезонье и зиме, летом часто ниже, особенно в дневные часы (30-50 %). Почвы — разнообразные: средиземноморские аллювиально-глиняные, краснозёмы, лёссовые, суглинковые; в горных районах — тонкий слой, каменистые. Рельеф — часто холмистый/горный и прибрежный, смешение низких равнин, горных склонов, урбанизированных территорий; высоты от 0 до >1 000 м. Климат — типичный средиземноморский; в некоторых внутренних и южных районах — полузасушливый. Риски: экстремальная жара / волны жары; перегрев в городах; высокий уровень потребления энергии на охлаждение; тепловой стресс у уязвимых групп; нехватка тени и зелёных насаждений; ухудшение качества воздуха; ночные перегревы.";Политехнический университет Мадрида, местные ассоциации и муниципалитеты;https://adaptecca.es/en/casos-practicos/cooltorise-combating-energy-poverty-summer-european-urban-environments-eco-social;;;;;;;;;;;;;;;;;;
Наводнения и утрата экосистем водных коридоров;Снос заграждений на реке ?rbigo, восстановление продольной и поперечной связи реки, восстановление поймы, восстановление вторичных рукавов, насаждение прибрежной растительности, создание проходов для миграции водных видов;Снижение затрат на гидротехнические сооружения, предотвращение ущерба в урбанизированных участках;Восстановление естественной динамики реки, уменьшение риска наводнений, восстановление экосистем и биоразнообразия, повышение устойчивости к климатическим изменениям;?rbigo, Испания;"Среднегодовая температура — около 12-14 °C. Сезонные средние: зима ? +2-5 °C, весна ? +10-14 °C, лето ? +22-25 °C, осень ? +12-15 °C. Безморозный период — около 180-210 дней. Годовое количество осадков — ~ 600-800 мм; пик осадков в весну и осень; летом — умеренные, зимой — с дождями и снегом на возвышенностях. Средняя влажность — ? 70-80 %, особенно в межсезонье и зимой. Почвы — аллювиальные пойменные почвы, суглинки, ил; в пойме — торфяные или с высоким содержанием органики; в прилегающих склонах — каменисто-глинистые. Рельеф: речная долина с пойменными равнинами, по бокам возвышенности; высота над уровнем моря варьируется, но примерно ? 700-900 м в некоторых участках. Климат — умеренно континентальный средиземноморский, с влиянием реки и близости к гористым областям. Риски: наводнения при сильных дождях или таянии снега; эрозия берегов; ухудшение качества воды; изменение гидрологии из-за регулирования рек; потеря RIPARIAN зон (прибрежной растительности); деградация экосистем.";Национальная стратегия восстановления рек (ENRR), местные органы управления;https://adaptecca.es/en/casos-practicos/demolition-barriers-orbigo-river-recover-ecological-connectivity;;;;;;;;;;;;;;;;;;
Утрата природных пойменных экосистем и связности рек;Гидрологическое соединение и улучшение среды обитания в меандрах нижнего течения реки Arga, открытие русла, удаление и отодвигание защитных сооружений, восстановление поймы, восстановление прибрежной растительности, создание водно-болотных угодий для Европейской норки;Поддержание и увеличение углеродного поглощения почв и биомасс при сохранении экосистемных услуг;Восстановление естественных функций реки, снижение риска наводнений, создание пригодных сред обитания для охраняемых видов, повышение устойчивости экосистем к климатическим изменениям;Funes, Наварра, Испания;"Среднегодовая температура — около 13-14 °C. Сезонные средние: зима ? +4-6 °C, весна ? +11-14 °C, лето ? +23-26 °C, осень ? +12-15 °C. Безморозный период — около 200-220 дней. Годовое количество осадков — ~ 800-1 000 мм; максимум зимой и весной, лето более сухое, но не экстремально. Средняя влажность — порядка 75-85 %, особенно зимой и весною; летом ниже, но ночами влажность высокая. Почвы — аллювиальные и пойменные, суглинки и илы, в заболоченных участках — гидроморфные почвы, с высоким содержанием органики. Рельеф: долина реки с пойменными равнинами, меандровыми участками; высота над уровнем моря ? 300-500 м; окружение может быть холмистым. Климат — умеренно континентальный с морским влиянием; средиземноморские черты. Риски: потеря биотопов и видового разнообразия; наводнения; засоры, зарастание берегов; изменение гидрологии при регулировании рек; риск засух в меженные периоды.";Министерство экологического перехода Испании (MITECO), программа PIMA-Adapta;https://adaptecca.es/en/casos-practicos/hydrologic-connection-and-habitat-improvement-meanders-lower-course-arga-river-0;;;;;;;;;;;;;;;;;;
